s3ss0 := [1,1](s3s0x0x0,s3s0x1x0,s3s0x2x0,s3s1x0x0,s3s1x1x0,s3s1x2x0,s3s2x0x0,s3s2x1x0,s3s2x2x0);
s3ss64 := [1,1](s3s6x3x1,s3s6x4x1,s3s6x5x1,s3s7x3x1,s3s7x4x1,s3s7x5x1,s3s8x3x1,s3s8x4x1,s3s8x5x1);
s3ss65 := [1,1](s3s6x3x2,s3s6x4x2,s3s6x5x2,s3s7x3x2,s3s7x4x2,s3s7x5x2,s3s8x3x2,s3s8x4x2,s3s8x5x2);
s3ss66 := [1,1](s3s6x3x3,s3s6x4x3,s3s6x5x3,s3s7x3x3,s3s7x4x3,s3s7x5x3,s3s8x3x3,s3s8x4x3,s3s8x5x3);
s3ss67 := [1,1](s3s6x3x4,s3s6x4x4,s3s6x5x4,s3s7x3x4,s3s7x4x4,s3s7x5x4,s3s8x3x4,s3s8x4x4,s3s8x5x4);
s3ss68 := [1,1](s3s6x3x5,s3s6x4x5,s3s6x5x5,s3s7x3x5,s3s7x4x5,s3s7x5x5,s3s8x3x5,s3s8x4x5,s3s8x5x5);
s3ss69 := [1,1](s3s6x3x6,s3s6x4x6,s3s6x5x6,s3s7x3x6,s3s7x4x6,s3s7x5x6,s3s8x3x6,s3s8x4x6,s3s8x5x6);
s3ss70 := [1,1](s3s6x3x7,s3s6x4x7,s3s6x5x7,s3s7x3x7,s3s7x4x7,s3s7x5x7,s3s8x3x7,s3s8x4x7,s3s8x5x7);
s3ss71 := [1,1](s3s6x3x8,s3s6x4x8,s3s6x5x8,s3s7x3x8,s3s7x4x8,s3s7x5x8,s3s8x3x8,s3s8x4x8,s3s8x5x8);
s3ss72 := [1,1](s3s6x6x0,s3s6x7x0,s3s6x8x0,s3s7x6x0,s3s7x7x0,s3s7x8x0,s3s8x6x0,s3s8x7x0,s3s8x8x0);
s3ss73 := [1,1](s3s6x6x1,s3s6x7x1,s3s6x8x1,s3s7x6x1,s3s7x7x1,s3s7x8x1,s3s8x6x1,s3s8x7x1,s3s8x8x1);
s3ss74 := [1,1](s3s6x6x2,s3s6x7x2,s3s6x8x2,s3s7x6x2,s3s7x7x2,s3s7x8x2,s3s8x6x2,s3s8x7x2,s3s8x8x2);
s3ss75 := [1,1](s3s6x6x3,s3s6x7x3,s3s6x8x3,s3s7x6x3,s3s7x7x3,s3s7x8x3,s3s8x6x3,s3s8x7x3,s3s8x8x3);
s3ss76 := [1,1](s3s6x6x4,s3s6x7x4,s3s6x8x4,s3s7x6x4,s3s7x7x4,s3s7x8x4,s3s8x6x4,s3s8x7x4,s3s8x8x4);
s3ss77 := [1,1](s3s6x6x5,s3s6x7x5,s3s6x8x5,s3s7x6x5,s3s7x7x5,s3s7x8x5,s3s8x6x5,s3s8x7x5,s3s8x8x5);
s3ss78 := [1,1](s3s6x6x6,s3s6x7x6,s3s6x8x6,s3s7x6x6,s3s7x7x6,s3s7x8x6,s3s8x6x6,s3s8x7x6,s3s8x8x6);
s3ss79 := [1,1](s3s6x6x7,s3s6x7x7,s3s6x8x7,s3s7x6x7,s3s7x7x7,s3s7x8x7,s3s8x6x7,s3s8x7x7,s3s8x8x7);
s3ss80 := [1,1](s3s6x6x8,s3s6x7x8,s3s6x8x8,s3s7x6x8,s3s7x7x8,s3s7x8x8,s3s8x6x8,s3s8x7x8,s3s8x8x8);
s3squaresquare := AND(s3ss0,s3ss1,s3ss2,s3ss3,s3ss4,s3ss5,s3ss6,s3ss7,s3ss8,s3ss9,s3ss10,s3ss11,s3ss12,s3ss13,s3ss14,s3ss15,s3ss16,s3ss17,s3ss18,s3ss19,s3ss20,s3ss21,s3ss22,s3ss23,s3ss24,s3ss25,s3ss26,s3ss27,s3ss28,s3ss29,s3ss30,s3ss31,s3ss32,s3ss33,s3ss34,s3ss35,s3ss36,s3ss37,s3ss38,s3ss39,s3ss40,s3ss41,s3ss42,s3ss43,s3ss44,s3ss45,s3ss46,s3ss47,s3ss48,s3ss49,s3ss50,s3ss51,s3ss52,s3ss53,s3ss54,s3ss55,s3ss56,s3ss57,s3ss58,s3ss59,s3ss60,s3ss61,s3ss62,s3ss63,s3ss64,s3ss65,s3ss66,s3ss67,s3ss68,s3ss69,s3ss70,s3ss71,s3ss72,s3ss73,s3ss74,s3ss75,s3ss76,s3ss77,s3ss78,s3ss79,s3ss80);
